method,NMI,ARI,cell_type_ASW,isolated_label_F1,isolated_label_ASW,cell_cycle_conservation,hvg_conservation,trajectory_conservation,trajectory_conservation_note,batch_ASW,pcr_comparison,kBET,graph_connectivity,iLISI,cLISI
bbknn,0.6666551529124191,0.5042892131953328,0.43582288175821304,0.23980721897410856,0.5085083739832044,0.41620794340942285,1.0,,compute_trajectory=False,0.7886809212618613,0.7663307021962321,0.29800320262779845,0.9249872516884832,0.41492073017540587,0.9598926567336951
combat,0.37649930890822086,0.09276044692491785,0.4396173395216465,0.20997980577165573,0.45452690470431534,0.6854360549422822,0.37844444444444447,,compute_trajectory=False,0.7180207986422649,0.9997091103870447,0.08753174374560324,0.922861395832109,0.023165444615310726,0.9833166347537583
fastmnn,0.5570956541112548,0.22232992650684885,0.4684079699218273,0.2714275095970062,0.46974826444472584,0.8789255383765323,1.0,,compute_trajectory=False,0.7546218412429115,0.06113889872629252,0.23618416022768607,0.9779208994553217,0.17823389130926892,0.9861547184050844
harmony,0.5761209804820957,0.25872840301013234,0.5066646197810769,0.25367401753018815,0.5031884537311271,0.9371746198147921,0.9871111111111112,,compute_trajectory=False,0.8565678288546208,0.5327011358185045,0.24107914618115744,0.9584367640043635,0.1793815179887408,0.9920005823604138
liger,0.04157194638805401,0.0034037698420482008,0.46987056359648705,0.012695913195384198,0.4403396207262631,0.047233016431291644,1.0,,compute_trajectory=False,0.9182211408450489,0.9191940911539546,0.04464413065456996,0.5452655875144354,0.2601375493802938,0.842414659774941
scanorama,0.5811310979830082,0.2119423857311996,0.5273134830596499,0.41262385265300067,0.5638078478321292,0.8622192566688697,0.19777777777777777,,compute_trajectory=False,0.8288823226187538,0.09906853770627455,0.20859949258199606,0.9801226969436586,0.09637394308415859,0.9957713255961673
scanvi,0.6131202205161984,0.31743332713875017,0.5229273028671741,0.2752808194846787,0.5572136385765459,0.5895432495676312,1.0,,compute_trajectory=False,0.7353179063790578,0.33790652166518,0.26622315445484124,0.9025854214231646,0.20323063495952265,0.9962287289724449
scgen,0.6322745623349344,0.31953381496029065,0.5449162609875202,0.5111158424296326,0.5696772733437163,0.7066420027559102,1.0,,compute_trajectory=False,0.8017524165339135,0.5636913811714538,0.33300499642249093,0.9795566063223574,0.15491090505258875,0.9977281854028929
scvi,0.5638837669759357,0.23114797369866077,0.47226415760815144,0.29006026010636093,0.5422511950933507,0.687882640930487,1.0,,,0.7905276655833391,0.7266874482924638,0.17728949844456166,0.899853402993996,0.10584440896714353,0.9930070369973476
seurat,0.5706960678860583,0.23494526841699645,0.5403906926512718,0.2870988849208235,0.554741323426632,0.3521124209942812,1.0,,compute_trajectory=False,0.7957577628792007,0.6031080633550849,0.31615062296962493,0.9268754491715345,0.27298358537772727,0.9839471581406957
mnn,0.434383928342343,0.203183498934313434,0.4132383412243324,0.19348374843783753,0.4334324352334325,0.439832948989342,1.0,,compute_trajectory=False,0.6234838892389345,0.6324748384324243,0.23323493489823849,0.8324344253748302,0.134233242353252542,0.93896583737086