method,perf_total_time_s,perf_peak_rss_gb,perf_peak_gpu_gb,perf_num_steps
bbknn,33887.03700566292,12.587760925292969,,8
combat,3685.5768663883205,18.974803924560547,,9
fastmnn,5145.471248865128,15.70438003540039,,9
harmony,4017.1082718372345,13.061908721923828,,8
liger,3949.1638996601105,12.25055694580078,,10
scanorama,20869.791607618332,53.54648208618164,,7
scanvi,4729.567896604538,14.421451568603516,0.0182809829711914,9
scgen,4743.395213127136,13.796432495117188,0.0161757469177246,12
scvi,3415.854829788208,14.169246673583984,0.0177564620971679,10
seurat,6247.024010658264,11.397327423095703,,9
mnn,15323.678901672363,15.587760925292969,,8